"Slug","Title","Type","App Icon","App Icon:alt","Link","Focus Age","What am I learning","Website Link","Android ","Apple","Question 1","Answer 1","Question 2","Answer 2","Question 3","Answer 3"
"who-invented-computers","Who Invented Computers","Video","","","https://www.youtube.com/watch?v=vzRqNTX6xgA","4-8","","","","","Is todays technology more powerful than technology of the past?","Answer: Yes, today's technology is significantly more powerful than past technology.

Explanation: Modern computers are capable of performing billions of calculations per second, whereas early computers could take hours or even days to complete much simpler tasks. This increase in processing power allows for advanced functions like artificial intelligence, complex simulations, and high-definition graphics, which were unimaginable with the technology of the past.","When did Babbage's invention finally get made?","Answer: 1991 when a group of engineers made his prototype a reality. 

Explanation: Although Charles Babbage conceived the Analytical Engine in the 1830s, it was never completed during his lifetime. His work laid the foundation for modern computing. It wasn’t until the 1940s, with the completion of ENIAC, that a fully operational electronic computer was realized, marking a significant advancement in technology compared to Babbage’s initial concepts.","",""
"binary-basics","Binary Basics","Video","","","https://www.youtube.com/watch?v=2Z03p3yhGmk","4-8","","","","","What two digits are used in binary?","Answer: 0 and 1","In binary, what number comes after 1?","Answer: 10","",""
"invention-of-computer-programming-language","Invention of Computer Programming Language","Video","","","https://youtu.be/Wchru8alhaE?si=v3MH4-OXog-X4rrC","4-8","","","","","Who was Grace Hopper and what was her significant contribution to computer programming?","Answer: Grace Hopper was an American computer scientist and Navy officer who developed the first compiler for computer programming.

Explanation: The passage highlights Hopper's innovative work in creating a way for computers to understand human language, moving away from complex binary code to more accessible English instructions.","What interesting story illustrates the origin of the term ""bug"" in computer programming?","Answer: Grace Hopper found a moth inside her computer while troubleshooting, which led her to document it as the ""first actual bug found.""","What was the compiler, and why was it important?","Answer: The compiler was the first computer program that translated English instructions into a language that computers could understand, making programming more efficient.

Explanation: The passage explains how the compiler allowed programmers to write code in a more human-friendly way, which significantly improved the programming process and contributed to the development of COBOL."
"invention-of-software-programming","Invention of Software Programming","Video","","","https://youtu.be/UPAkeZBxb0I?si=6dZzt6EZKzLd40gB","4-8","","","",""," What significant role did Margaret Hamilton play in the Apollo missions?","Answer: Margaret Hamilton developed the software that enabled the Apollo spacecraft to land on the moon successfully.","What problem occurred just before the Apollo 11 landing, and how did Margaret's software help resolve it?","Answer: Just before the Apollo 11 landing, the computer started throwing error messages due to unnecessary calculations, which threatened the landing.

Explanation: The video describes how Margaret's software was designed to eliminate lower-priority tasks and focus on the essential functions needed for landing, allowing the mission to succeed despite the potential for failure.","What misconception did some people have about astronauts, and how was this proven wrong during the Apollo missions?","Answer: Some people believed that astronauts would not make mistakes during the mission, but this was proven wrong when an astronaut pressed the wrong button on Apollo 8, causing data loss."
"learn-to-code-invention-of-video-games","Invention of Video Games","Video","","","https://youtu.be/VlhlGk_9X4A?si=bDRAhiuInY1jwZ5-","4-8","","","","","Who is known as the 'Father of Video Games,' and what was his significant contribution?","Answer: Ralph Baer is known as the 'Father of Video Games,' and he contributed by developing the world's first video game console.

Explanation: The passage explains how Ralph Baer recognized an opportunity to create video games for television and successfully patented his invention, leading to the production of the first home video game system.","What was one of the earliest video games created for entertainment, and why did it not last long?","Answer: One of the earliest video games created for entertainment was a tennis game for two, which was discontinued after a year due to its high cost.

Explanation: The passage highlights that while this game marked the beginning of video games for entertainment, economic factors prevented its longevity, reflecting the challenges in the early gaming industry.","According to the video, what misconceptions about video games are addressed, and what positive effects are mentioned?","Answer: The passage addresses misconceptions that video games are harmful and suggests that action games can help players make decisions faster.

Explanation: It points out that contrary to popular belief, studies indicate that playing action games can improve decision-making skills, emphasizing the potential cognitive benefits of gaming.



"
"coding-for-beginner-kids","Coding for Beginner Kids","Video","","","https://www.youtube.com/watch?v=j-3eArinB7E","4-8","","","","","What are some examples of coding languages mentioned, and what is one unique feature of visual block coding?","Answer: Examples of coding languages include C++, Java, JavaScript, and Python. A unique feature of visual block coding is that it allows users to snap together virtual code blocks to create programs.

Explanation: The passage highlights various programming languages used by professionals in different fields. Visual block coding is particularly beginner-friendly, making it easier for newcomers to understand coding concepts without needing to write complex text-based code.","What is coding, and why is it important?","Explanation: The passage explains that coding is essential for telling computers what to do. It serves as the foundation for creating software, apps, and games, making it a crucial skill in today’s technology-driven world.","",""
"codespark","codeSpark","App","https://framerusercontent.com/images/NwDz14xj4gYQ76Sxz0KYwL2jDR0.jpg","","","4-8","<p>Introduce your kids to a variety of coding concepts in a super easy-to-grasp app. Some levels require higher-level thinking, but the controls don't get more complex making this an amazing introductory app. After they get the hang of the coding levels, there is even a way to start coding your own levels. </p>","https://codespark.com/","https://play.google.com/store/apps/details?id=org.codespark.thefoos&hl=en_US","https://apps.apple.com/us/app/codespark-coding-for-kids/id923441570","","","","","",""
"codemonkey","CodeMonkey","App","https://framerusercontent.com/images/bPDRLq0kz68hxylfRHzWsj6BwCE.png","","","4-8","<p>Learn how to code with blocks, and written coding.  This software might take a little bit of time to get started with, but is super easy and intuitive. </p>","https://www.codemonkey.com/","","","","","","","",""
"kidsruby","KidsRuby","App","https://framerusercontent.com/images/iOrvbrGeAwl9Tx5wDSN7Ma2x40.jpg","","","9-12","<p>Introduce your kids to different coding languages, although Ruby is more niched and not so common anymore, it is still used in heavy industries. </p>","http://kidsruby.com/about.html","","","","","","","",""
"swift-playground","Swift Playground","App","https://framerusercontent.com/images/M0IOJvBE4805kA1pEkjHENhNGCE.webp","","","13-18","<p>Ever wanted to develop an app for your apple device? Well, it uses a special coding language called Swift. Apple has built a cool program for learning how to use their coding language.</p>","https://developer.apple.com/swift-playgrounds/","","https://apps.apple.com/us/app/swift-playgrounds/id908519492","","","","","",""
"makecode-arcade","Makecode Arcade","App","https://framerusercontent.com/images/0TBfNEPKEdCjrzFpXEz4X2uD5Q.png","","","9-12","<p>This is an amazing software. It allows kids to code with blocks, but then see their code as both Javascript and Python. There are a lot of functions and this software is super capable. Unlike Scratch, they have pre-built courses that walk you through step-by-step to complete a project. This is an awesome website to spend 30-minutes a week on. </p>","https://arcade.makecode.com/","","","","","","","",""
"code-org","Code.org","App","https://framerusercontent.com/images/pMxWoocl87AostsIN5gz4WXs.png","","","9-12","<p>This website is AMAZING, everything from introductory courses to full-fledged AI coding courses. I like this software because it helps create lesson plans if you're in groups, but also has curricula that can be taken by just one kid. This features an hour of code and also a self-paced full coding curriculum. </p><p>Not available as a mobile app, so requires computer skills. </p>","https://code.org/students","","","","","","","",""
"rodo-codo","Rodo Codo","App","https://framerusercontent.com/images/XerDcKmIzD2OuomSf4PlTT5gwhM.webp","","","9-12","<p>This tool is super advanced but also allows for easier hour-of-code use. I like this app for spending 30 minutes a day practicing and getting good with an app. While this works for young kids too, I find the UI a little more confusing for younger kids. </p>","https://game.rodocodo.com/hour-of-code/","https://play.google.com/store/apps/details?id=com.rodocodo.codehour&pli=1","https://apps.apple.com/gb/app/rodocodo-code-hour/id1597648605","","","","","",""
"kidlo-coding","Kidlo Coding","App","https://framerusercontent.com/images/SlXDYeVI23j6ab0gPJ1HmEgbLo.webp","Kidlo Gaming Website Screenshot","","4-8","<p>This website / app is wonderful for introducing your kid to a variety of concepts. </p>","https://www.kidlocoding.com/","https://play.google.com/store/apps/details?id=com.internetdesignzone.kidlolandcoding&referrer=utm_source%3Dkidlocodingwebsite","https://apps.apple.com/us/app/coding-for-kids-code-games/id1246265707","","","","","",""
"nitrotype","NitroType","Game","","","","9-12","<p>Competitively compete against players around the world in a typing racing game. </p>","https://www.nitrotype.com/","","","","","","","",""
"easy-typing","Easy Typing","Game","","","","4-8","<p>This is a simple no thrills, no time limit, typing game. </p>","https://www.tinytap.com/activities/g4tlj/play/1st-mm-typing","","","","","","","",""
"mouse-clicking","Mouse Clicking","Game","","","","4-8","","https://www.tinytap.com/activities/g4tit/play/mouse-practice-3-clicking","","","","","","","",""
"mario-keyboard","Mario Keyboard","Game","","","","4-8","<p>Practice clicking keys</p>","https://www.cbc.ca/kids/games/play/anti-gravity","","","","","","","",""
"dragging-and-dropping","Dragging and Dropping","Game","","","","4-8","<p>Another very important skill is dragging and dropping, this skill is used by all Block Coding software which is how we start kids off coding. </p>","https://www.happyclicks.net/drag-drop-games/index.php","","","","","","","",""
"this-is-sand","This is Sand","Game","","","","4-8","<p>In this very simple game kids can drop sand and make a drawing from clicking on their screen from above. </p>","https://thisissand.com/","","","","","","","",""
"toddler-mouse-games","Toddler Mouse Games","Game","","","","4-8","<p>Some of the easiest mouse games available</p>","https://www.happyclicks.net/move-swipe-games/index.php","","","","","","","",""
"obstacle-avoider","Obstacle Avoider","Game","","","","4-8","<p>Join the Wild Kratts and drive a car left and right to avoid obstacles!</p>","https://pbskids.org/wildkratts/games/creature-mobile/","","","","","","","",""
"mouse-maze","Mouse Maze","Game","","","","4-8","<p>Simply draw a line to help the mouse escape the maze!</p>","https://www.cbc.ca/kids/games/play/mouse","","","","","","","",""
"pickle-bubble-popper","Pickle Bubble Popper","Game","","","","4-8","<p>There is a wide assortment of games available on this website. </p>","https://minimouse.us/index.html","","","","","","","",""
